timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_digital_input_bits,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,actual_execution_time,robot_mode,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,safety_mode,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,speed_scaling,target_speed_fraction,actual_momentum,actual_main_voltage,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5,actual_digital_output_bits,runtime_state,standard_analog_input0,standard_analog_input1,standard_analog_output0,standard_analog_output1,robot_status_bits,safety_status_bits,ft_raw_wrench_0,ft_raw_wrench_1,ft_raw_wrench_2,ft_raw_wrench_3,ft_raw_wrench_4,ft_raw_wrench_5,payload,payload_cog_0,payload_cog_1,payload_cog_2,output_int_register_2,output_int_register_12,output_int_register_13,output_int_register_14,output_int_register_15,output_int_register_16,output_int_register_17,output_int_register_18,output_int_register_19,output_double_register_12,output_double_register_13,output_double_register_14,output_double_register_15,output_double_register_16,output_double_register_17,output_double_register_18,output_double_register_19
3224.963000,-1.660743,-2.080199,-1.603335,5.256628,1.533230,-1.465949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,3.907318,1.836759,0.250338,-0.003357,0.000006,-0.000000,38.442492,18.071113,1.927604,-0.025850,0.000043,-1.660743,-2.080235,-1.603346,5.256640,1.533242,-1.465902,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.036976,3.624631,1.602277,0.298628,0.151244,0.155686,-0.000000,3.907318,1.836759,0.250338,-0.003357,0.000006,-0.198337,-0.629719,0.062400,1.984279,-2.396738,-0.037057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.163233,-0.026139,-0.021387,-0.005421,0.006179,0.003939,-0.198341,-0.629724,0.062427,1.984315,-2.396666,-0.037032,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0,29.750000,31.687500,30.125000,34.125000,37.125000,38.000000,0.755365,7,253,253,253,253,253,253,1,-0.057461,0.306458,-9.193734,1.000000,1.000000,0.000000,47.696735,47.731667,0.851557,47.584930,47.627930,47.642265,47.527599,47.541931,47.513264,0,2,0.398054,0.177500,0.004000,0.004000,3,1,10986.158325,-15349.072803,23251.902871,-294.797587,-259.647739,-284.193056,0.100000,0.001000,-0.001000,0.053000,65536,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3224.965000,-1.660743,-2.080199,-1.603335,5.256628,1.533230,-1.465949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.907484,1.836660,0.250333,-0.003355,0.000006,0.000000,38.444131,18.070144,1.927563,-0.025833,0.000043,-1.660743,-2.080199,-1.603311,5.256604,1.533218,-1.465914,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.043158,3.645101,1.590053,0.318216,0.155897,0.155748,0.000000,3.907484,1.836660,0.250333,-0.003355,0.000006,-0.198345,-0.629729,0.062436,1.984265,-2.396694,-0.037044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.160541,0.049610,0.093309,-0.009481,0.008466,0.003864,-0.198341,-0.629724,0.062427,1.984315,-2.396666,-0.037032,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0,29.750000,31.687500,30.125000,34.125000,37.125000,38.000000,0.770593,7,253,253,253,253,253,253,1,-0.019154,0.306458,-9.232041,1.000000,1.000000,0.000000,47.680618,47.723602,0.811275,47.556263,47.627930,47.599266,47.498932,47.498932,47.470268,0,2,0.402335,0.179515,0.004000,0.004000,3,1,10986.085188,-15349.051804,23251.788301,-294.799076,-259.643330,-284.192828,0.100000,0.001000,-0.001000,0.053000,65536,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3224.967000,-1.660743,-2.080199,-1.603335,5.256628,1.533230,-1.465949,0.000007,-0.000007,0.000007,-0.000000,-0.000015,0.000007,0.003577,-0.003594,0.003748,-0.000013,-0.007294,0.003589,0.001965,3.774305,1.867025,0.250336,-0.003779,0.000258,0.014568,38.430766,18.078595,1.927587,-0.027272,0.000803,-1.660779,-2.080199,-1.603335,5.256628,1.533194,-1.465937,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.033438,3.624232,1.599516,0.298902,0.143859,0.142744,0.001965,3.774305,1.867025,0.250336,-0.003779,0.000258,-0.198373,-0.629716,0.062428,1.984241,-2.396693,-0.037071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.141389,0.045121,0.104563,-0.008719,0.001406,0.001379,-0.198341,-0.629724,0.062427,1.984315,-2.396666,-0.037032,0.000000,-0.000004,-0.000001,0.000001,0.000015,-0.000000,0,29.750000,31.687500,30.125000,34.125000,37.125000,38.000000,1.194205,7,253,253,253,253,253,253,1,0.038307,0.344765,-9.174581,1.000000,1.000000,0.000049,47.683304,47.718231,0.869460,47.556263,47.627930,47.613598,47.498932,47.484600,47.498932,0,2,0.407622,0.181025,0.004000,0.004000,3,1,10986.145988,-15348.755884,23251.788587,-294.792301,-259.645488,-284.190368,0.100000,0.001000,-0.001000,0.053000,65536,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3224.969000,-1.660743,-2.080199,-1.603335,5.256628,1.533230,-1.465949,0.000014,-0.000014,0.000015,-0.000000,-0.000028,0.000014,0.003359,-0.003374,0.003519,-0.000013,-0.006847,0.003369,0.002330,3.773803,1.867387,0.250335,-0.003994,0.000397,0.013677,38.431312,18.077885,1.927587,-0.027202,0.000756,-1.660719,-2.080176,-1.603359,5.256628,1.533242,-1.465949,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.008642,3.479125,1.608295,0.299391,0.145387,0.146689,0.002330,3.773803,1.867387,0.250335,-0.003994,0.000397,-0.198322,-0.629721,0.062432,1.984349,-2.396648,-0.037018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065450,0.126092,0.162701,-0.011604,0.001405,-0.001512,-0.198341,-0.629724,0.062427,1.984315,-2.396666,-0.037032,0.000001,-0.000008,-0.000002,0.000001,0.000028,-0.000000,0,29.750000,31.687500,30.125000,34.125000,37.125000,38.000000,1.177993,7,253,253,253,253,253,253,1,-0.038307,0.383072,-9.212888,1.000000,1.000000,0.000096,47.681515,47.727188,0.815752,47.541931,47.599266,47.613598,47.484600,47.498932,47.498932,0,2,0.402335,0.177500,0.004000,0.004000,3,1,10986.052744,-15348.813009,23251.727534,-294.791786,-259.642764,-284.187370,0.100000,0.001000,-0.001000,0.053000,65536,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3224.971000,-1.660743,-2.080199,-1.603335,5.256628,1.533230,-1.465949,0.000020,-0.000020,0.000021,-0.000000,-0.000041,0.000020,0.003149,-0.003163,0.003299,-0.000012,-0.006420,0.003158,0.002669,3.773273,1.867749,0.250335,-0.004187,0.000527,0.012822,38.431192,18.077431,1.927587,-0.027084,0.000712,-1.660755,-2.080187,-1.603311,5.256640,1.533206,-1.465937,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.033787,3.497095,1.664055,0.307225,0.136146,0.153929,0.002669,3.773273,1.867749,0.250335,-0.004187,0.000527,-0.198357,-0.629737,0.062447,1.984252,-2.396651,-0.037004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068255,0.292983,0.124626,-0.015260,0.005485,0.006271,-0.198341,-0.629724,0.062427,1.984315,-2.396666,-0.037032,0.000001,-0.000011,-0.000003,0.000002,0.000041,-0.000000,0,29.750000,31.687500,30.125000,34.125000,37.125000,38.000000,1.190497,7,253,253,253,253,253,253,1,-0.019154,0.306458,-9.174581,1.000000,1.000000,0.000139,47.683304,47.697632,0.820223,47.541931,47.584930,47.599266,47.470268,47.484600,47.484600,0,2,0.405104,0.172465,0.004000,0.004000,3,1,10985.863399,-15348.914635,23251.760341,-294.795051,-259.638124,-284.195011,0.100000,0.001000,-0.001000,0.053000,65536,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3224.973000,-1.660743,-2.080200,-1.603335,5.256628,1.533230,-1.465949,0.000026,-0.000026,0.000027,-0.000000,-0.000053,0.000026,0.002948,-0.002961,0.003088,-0.000011,-0.006010,0.002957,0.002985,3.772933,1.868127,0.250339,-0.004376,0.000649,0.012004,38.432731,18.077383,1.927621,-0.027030,0.000669,-1.660779,-2.080248,-1.603323,5.256580,1.533218,-1.465937,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.064301,3.482408,1.625327,0.309767,0.150738,0.155152,0.002985,3.772933,1.868127,0.250339,-0.004376,0.000649,-0.198366,-0.629705,0.062397,1.984290,-2.396749,-0.037139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.106491,0.179112,-0.065794,-0.007964,0.000558,-0.000463,-0.198341,-0.629724,0.062427,1.984315,-2.396666,-0.037032,0.000001,-0.000014,-0.000004,0.000002,0.000053,-0.000000,0,29.750000,31.687500,30.125000,34.125000,37.125000,38.000000,1.184856,7,253,253,253,253,253,253,1,-0.038307,0.344765,-9.232041,1.000000,1.000000,0.000180,47.669868,47.715542,0.795603,47.570595,47.627930,47.613598,47.484600,47.513264,47.455933,0,2,0.399313,0.180018,0.004000,0.004000,3,1,10986.006790,-15348.771456,23251.957407,-294.791624,-259.646455,-284.188557,0.100000,0.001000,-0.001000,0.053000,65536,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3224.975000,-1.660743,-2.080200,-1.603335,5.256628,1.533230,-1.465949,0.000032,-0.000032,0.000033,-0.000000,-0.000064,0.000032,0.002755,-0.002768,0.002887,-0.000010,-0.005617,0.002764,0.003279,3.772677,1.868359,0.250326,-0.004548,0.000762,0.011220,38.434817,18.076174,1.927528,-0.026945,0.000628,-1.660731,-2.080176,-1.603323,5.256616,1.533218,-1.465914,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.077644,3.532265,1.569572,0.306237,0.151252,0.150997,0.003279,3.772677,1.868359,0.250326,-0.004548,0.000762,-0.198337,-0.629731,0.062447,1.984269,-2.396670,-0.037017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052601,-0.009110,0.078067,-0.006082,0.006033,0.002970,-0.198341,-0.629724,0.062427,1.984314,-2.396666,-0.037032,0.000001,-0.000017,-0.000005,0.000003,0.000064,-0.000000,0,29.750000,31.687500,30.125000,34.125000,37.125000,38.000000,1.180272,7,253,253,253,253,253,253,1,-0.057461,0.344765,-9.270350,1.000000,1.000000,0.000218,47.691364,47.736141,0.800085,47.556263,47.627930,47.613598,47.513264,47.513264,47.484600,0,2,0.399313,0.177500,0.004000,0.004000,3,1,10986.162812,-15348.957359,23251.807695,-294.797327,-259.647154,-284.192063,0.100000,0.001000,-0.001000,0.053000,65536,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3224.977000,-1.660743,-2.080200,-1.603335,5.256628,1.533230,-1.465949,0.000037,-0.000037,0.000038,-0.000000,-0.000075,0.000037,0.002571,-0.002583,0.002694,-0.000010,-0.005242,0.002579,0.003550,3.772141,1.868732,0.250336,-0.004709,0.000868,0.010469,38.433625,18.076552,1.927604,-0.026872,0.000589,-1.660731,-2.080211,-1.603335,5.256640,1.533230,-1.465914,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.074098,3.500761,1.685101,0.303956,0.136356,0.140115,0.003550,3.772141,1.868732,0.250336,-0.004709,0.000868,-0.198334,-0.629729,0.062421,1.984286,-2.396689,-0.037030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032915,0.076003,0.034866,-0.011631,0.003379,-0.000858,-0.198341,-0.629724,0.062427,1.984314,-2.396666,-0.037032,0.000002,-0.000020,-0.000006,0.000003,0.000075,-0.000000,0,29.750000,31.687500,30.125000,34.125000,37.125000,38.000000,1.184904,7,253,253,253,253,253,253,1,0.038307,0.306458,-9.136273,1.000000,1.000000,0.000253,47.694946,47.717335,0.809034,47.570595,47.570595,47.642265,47.513264,47.498932,47.498932,0,2,0.406363,0.178508,0.004000,0.004000,3,1,10986.082607,-15348.923730,23251.851557,-294.793715,-259.642344,-284.188024,0.100000,0.001000,-0.001000,0.053000,65536,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3224.979000,-1.660743,-2.080200,-1.603335,5.256628,1.533229,-1.465949,0.000042,-0.000042,0.000043,-0.000000,-0.000085,0.000042,0.002395,-0.002406,0.002509,-0.000009,-0.004882,0.002402,0.003802,3.771883,1.868953,0.250333,-0.004858,0.000966,0.009752,38.435075,18.075686,1.927587,-0.026793,0.000551,-1.660779,-2.080164,-1.603299,5.256592,1.533206,-1.465937,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.017748,3.495184,1.621530,0.314816,0.130265,0.149516,0.003802,3.771883,1.868953,0.250333,-0.004858,0.000966,-0.198371,-0.629728,0.062463,1.984229,-2.396681,-0.037018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.046639,0.154570,-0.015926,-0.012313,-0.000025,-0.001501,-0.198341,-0.629724,0.062427,1.984314,-2.396666,-0.037032,0.000002,-0.000023,-0.000007,0.000004,0.000084,-0.000000,0,29.750000,31.687500,30.125000,34.125000,37.125000,38.000000,1.184748,7,253,253,253,253,253,253,1,-0.076614,0.383072,-9.289502,1.000000,1.000000,0.000287,47.695843,47.718231,0.813511,47.570595,47.627930,47.613598,47.498932,47.498932,47.498932,0,2,0.404348,0.181528,0.004000,0.004000,3,1,10986.019738,-15348.832931,23251.905286,-294.790248,-259.642335,-284.187352,0.100000,0.001000,-0.001000,0.053000,65536,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3224.981000,-1.660743,-2.080200,-1.603334,5.256628,1.533229,-1.465949,0.000046,-0.000046,0.000048,-0.000000,-0.000094,0.000046,0.002226,-0.002236,0.002332,-0.000008,-0.004538,0.002233,0.004034,3.771489,1.869292,0.250336,-0.005000,0.001057,0.009065,38.434779,18.076163,1.927613,-0.026743,0.000516,-1.660743,-2.080176,-1.603323,5.256592,1.533230,-1.465926,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.036563,3.504136,1.624946,0.304003,0.151434,0.141623,0.004034,3.771489,1.869292,0.250336,-0.005000,0.001057,-0.198341,-0.629723,0.062445,1.984286,-2.396689,-0.037031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.089116,-0.089697,0.118040,-0.007828,-0.000374,0.002943,-0.198341,-0.629724,0.062427,1.984314,-2.396665,-0.037033,0.000002,-0.000025,-0.000008,0.000004,0.000094,-0.000000,0,29.750000,31.687500,30.125000,34.125000,37.125000,38.000000,1.186968,7,253,253,253,253,253,253,1,-0.076614,0.383072,-9.251195,1.000000,1.000000,0.000317,47.688675,47.716442,0.842603,47.556263,47.627930,47.613598,47.484600,47.498932,47.484600,0,2,0.403342,0.179766,0.004000,0.004000,3,1,10986.268801,-15348.831748,23251.773220,-294.790707,-259.646636,-284.191964,0.100000,0.001000,-0.001000,0.053000,65536,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
